For Account:,####9879

TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
12/23/19,Bought,MF,SVAAX,263.62,-1500,5.69,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
12/23/19,Bought,MF,AMANX,3.791,-200,52.75,0,AMANA INCOME INVESTOR         AMANA                         
12/23/19,Dividend,MF,SFLNX,1.187,-21.06,0,0,SCHWAB FUNDAMENTAL US LARGE COSCHWAB FUNDS                  
12/23/19,Dividend,MF,SFLNX,0.076,-1.34,0,0,SCHWAB FUNDAMENTAL US LARGE COSCHWAB FUNDS                  
12/23/19,Dividend,MF,SFLNX,1.029,-18.25,0,0,SCHWAB FUNDAMENTAL US LARGE COSCHWAB FUNDS                  
12/23/19,Dividend,MF,SEEKX,0.225,-10.44,0,0,CROSSMARK STEWARD LRG CAP ENH CROSSMARK STEWARD FUNDS       
12/23/19,Dividend,MF,SFLNX,0,1.34,0,0,SCHWAB FUNDAMENTAL US LARGE COSCHWAB FUNDS                  
12/23/19,Dividend,MF,SFLNX,0,18.25,0,0,SCHWAB FUNDAMENTAL US LARGE COSCHWAB FUNDS                  
12/23/19,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:34839671482;
12/23/19,Dividend,MF,SFLNX,0,21.06,0,0,SCHWAB FUNDAMENTAL US LARGE COSCHWAB FUNDS                  
12/23/19,Dividend,MF,SEEKX,0,10.44,0,0,CROSSMARK STEWARD LRG CAP ENH CROSSMARK STEWARD FUNDS       
12/20/19,Dividend,MF,AMAGX,0.306,-13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
12/20/19,Dividend,MF,AMANX,0.469,-24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
12/20/19,Dividend,MF,PGRTX,7.57,-101.81,0,0,PRINCIPAL SMALLCAP GROWTH I INPrincipal Funds               
12/20/19,Dividend,MF,AMAGX,0.04,-1.76,0,0,AMANA GROWTH INVESTOR         AMANA                         
12/20/19,Dividend,MF,AMANX,0.047,-2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
12/20/19,Dividend,MF,AMAGX,0,1.76,0,0,AMANA GROWTH INVESTOR         AMANA                         
12/20/19,Dividend,MF,AMANX,0,2.43,0,0,AMANA INCOME INVESTOR         AMANA                         
12/20/19,Dividend,MF,PGRTX,0,101.81,0,0,PRINCIPAL SMALLCAP GROWTH I INPrincipal Funds               
12/20/19,Dividend,MF,AMAGX,0,13.53,0,0,AMANA GROWTH INVESTOR         AMANA                         
12/20/19,Dividend,MF,AMANX,0,24.38,0,0,AMANA INCOME INVESTOR         AMANA                         
12/19/19,Dividend,MF,TMFGX,1.779,-44.18,0,0,MFAM MID CAP GROWTH INV       MOTLEY FOOL                   
12/19/19,Dividend,MF,TMFGX,0,44.18,0,0,MFAM MID CAP GROWTH INV       MOTLEY FOOL                   
12/18/19,Bought,EQ,EES,10,-385.1,38.51,0,WISDOMTREE TRUST              WISDOMTREE U S SMALLCAP FUND  
12/18/19,Bought,MF,NBGEX,1.715,-100,58.3,0,NEUBERGER BERMAN GENESIS TR   NEUBERGER BERMAN              
12/18/19,Dividend,MF,ETGLX,1.077,-43.35,0,0,EVENTIDE GILEAD N             EVENTIDE FUNDS                
12/18/19,Dividend,MF,ETGLX,0,43.35,0,0,EVENTIDE GILEAD N             EVENTIDE FUNDS                
12/17/19,Dividend,MF,NBGEX,0.923,-53.55,0,0,NEUBERGER BERMAN GENESIS TR   NEUBERGER BERMAN              
12/17/19,Dividend,MF,NBGEX,0.001,-0.06,0,0,NEUBERGER BERMAN GENESIS TR   NEUBERGER BERMAN              
12/17/19,Dividend,MF,NBGEX,0,0.06,0,0,NEUBERGER BERMAN GENESIS TR   NEUBERGER BERMAN              
12/17/19,Dividend,MF,NBGEX,0,53.55,0,0,NEUBERGER BERMAN GENESIS TR   NEUBERGER BERMAN              
12/16/19,Bought,MF,OAKBX,10.292,-300,29.15,0,OAKMARK EQUITY AND INCOME INVEOAKMARK                       
12/16/19,Bought,MF,RYOCX,4.503,-196.45,43.63,0,RYDEX NASDAQ-100?? INV         Rydex Funds                  
12/16/19,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:34431647482;
12/13/19,Dividend,MF,OAKBX,3.853,-111.75,0,0,OAKMARK EQUITY AND INCOME INVEOAKMARK                       
12/13/19,Dividend,MF,OAKBX,0.915,-26.54,0,0,OAKMARK EQUITY AND INCOME INVEOAKMARK                       
12/13/19,Dividend,MF,OAKBX,0,26.54,0,0,OAKMARK EQUITY AND INCOME INVEOAKMARK                       
12/13/19,Dividend,MF,OAKBX,0,111.75,0,0,OAKMARK EQUITY AND INCOME INVEOAKMARK                       
12/12/19,Dividend,MF,RYOCX,0.372,-15.93,0,0,RYDEX NASDAQ-100?? INV         Rydex Funds                  
12/12/19,Dividend,MF,WPSGX,0.777,-33.14,0,0,AB CONCENTRATED GROWTH ADVISORALLIANCEBERNSTEIN             
12/12/19,Dividend,MF,RYOCX,0.002,-0.1,0,0,RYDEX NASDAQ-100?? INV         Rydex Funds                  
12/12/19,Dividend,MF,WPSGX,0.024,-1.01,0,0,AB CONCENTRATED GROWTH ADVISORALLIANCEBERNSTEIN             
